filename,full_path,username,root_path,activity,month,lingorm
EM_Gossip_1833055970358141022_2024-09-09 08-12_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/EM_Gossip_1833055970358141022_2024-09-09 08-12_1.webp,EM_Gossip,活動,20240908_LingOrmFanMeet2geTHer_媒體,202409.0,lingorm
bunnytales1221_1794729144812740627_2024-05-26 13-55_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/bunnytales1221_1794729144812740627_2024-05-26 13-55_2.webp,bunnytales1221,活動,20240526_ORM_CHARITY_FASHION_SHOW,202405.0,orm
FiloROSIE_1825184451900662141_2024-08-18 14-54_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/FiloROSIE_1825184451900662141_2024-08-18 14-54_1.webp,FiloROSIE,活動,20240816_LingOrm1stFMinHK接機,202408.0,ling
411xpercent_1816529540098982004_2024-07-25 17-42_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/411xpercent_1816529540098982004_2024-07-25 17-42_1.webp,411xpercent,活動,20240722_三台大樓宣傳,202407.0,orm
SOU_Ch3Official_1829193463235260575_2024-08-29 16-24_3.webp,/Users/linnianyi/Desktop/Code/backend/static/images/SOU_Ch3Official_1829193463235260575_2024-08-29 16-24_3.webp,SOU_Ch3Official,活動,20240829_LingLingMajorFandom,202408.0,ling
SSITAXX_1832757429010153882_2024-09-08 12-26_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/SSITAXX_1832757429010153882_2024-09-08 12-26_2.webp,SSITAXX,活動,20240908_LingOrmFanMeet2geTHer_飯拍,202409.0,ling
bunnytales1221_1838809230314537133_2024-09-25 05-14_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/bunnytales1221_1838809230314537133_2024-09-25 05-14_1.webp,bunnytales1221,活動,20240925_LingLingMycherieAmour,202409.0,ling
_sPoundK__1823030275447963824_2024-08-12 16-14_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/_sPoundK__1823030275447963824_2024-08-12 16-14_1.webp,_sPoundK_,活動,20240812_三台大樓宣傳,202408.0,ling
thinktoyoon_ty_1823222949173702931_2024-08-13 04-59_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/thinktoyoon_ty_1823222949173702931_2024-08-13 04-59_1.webp,thinktoyoon_ty,活動,20240812_三台大樓宣傳,202408.0,lingorm
TTaeny09_1802546687506092429_2024-06-17 03-39_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/TTaeny09_1802546687506092429_2024-06-17 03-39_2.webp,TTaeny09,活動,20240616_MaybellinexLingOrm,202406.0,orm
LilyRose_38_1800507357346341080_2024-06-11 12-36_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/LilyRose_38_1800507357346341080_2024-06-11 12-36_1.webp,LilyRose_38,活動,20240611_LingOrmOnTheWay_EP3,202406.0,lingorm
JungsJinns_1832731642055762409_2024-09-08 10-44_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/JungsJinns_1832731642055762409_2024-09-08 10-44_1.webp,JungsJinns,活動,20240908_LingOrmFanMeet2geTHer_飯拍,202409.0,lingorm
wefoundyouu_1832729804996816924_2024-09-08 10-36_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/wefoundyouu_1832729804996816924_2024-09-08 10-36_1.webp,wefoundyouu,活動,20240908_LingOrmFanMeet2geTHer_飯拍,202409.0,lingorm
JungsJinns_1832660633021772251_2024-09-08 06-01_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/JungsJinns_1832660633021772251_2024-09-08 06-01_2.webp,JungsJinns,活動,20240908_LingOrmFanMeet2geTHer_飯拍,202409.0,lingorm
AS_AntiS_1824712192127795449_2024-08-17 07-37_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/AS_AntiS_1824712192127795449_2024-08-17 07-37_1.webp,AS_AntiS,活動,20240817_LingOrm1stFMinHK,202408.0,ling
ormkornway_1831919430068269353_2024-09-06 04-56_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/ormkornway_1831919430068269353_2024-09-06 04-56_2.webp,ormkornway,活動,20240906_排練,202409.0,orm
teddybear_t9_1794401646107381978_2024-05-25 16-14_4.webp,/Users/linnianyi/Desktop/Code/backend/static/images/teddybear_t9_1794401646107381978_2024-05-25 16-14_4.webp,teddybear_t9,活動,20240525_RomandMultyxLingOrm,202405.0,lingorm
Koiiz9_1822981710553952640_2024-08-12 13-01_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/Koiiz9_1822981710553952640_2024-08-12 13-01_2.webp,Koiiz9,活動,20240812_三台大樓宣傳,202408.0,ling
bunnytales1221_1802650805516083330_2024-06-17 10-33_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/bunnytales1221_1802650805516083330_2024-06-17 10-33_2.webp,bunnytales1221,活動,20240616_MaybellinexLingOrm,202406.0,orm
bunnytales1221_1814647011582542219_2024-07-20 13-02_3.webp,/Users/linnianyi/Desktop/Code/backend/static/images/bunnytales1221_1814647011582542219_2024-07-20 13-02_3.webp,bunnytales1221,活動,20240626_JUEPAKxLINGORM,202406.0,lingorm
LOgallery38_1800857196013769037_2024-06-12 11-46_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/LOgallery38_1800857196013769037_2024-06-12 11-46_1.webp,LOgallery38,活動,20240612_9EntertainAwards,202406.0,lingorm
rushhour39_1764980850486308914_2024-03-05 11-46_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/rushhour39_1764980850486308914_2024-03-05 11-46_2.webp,rushhour39,活動,20240305_LINGORMxEQUINOXSUMMER,202403.0,lingorm
tHeCaTnExTdOoR_1827746092324442126_2024-08-25 16-33_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/tHeCaTnExTdOoR_1827746092324442126_2024-08-25 16-33_1.webp,tHeCaTnExTdOoR,活動,20240825_YoungOTOPxOrm,202408.0,orm
day_fruit71850_1837818708112150995_2024-09-22 11-38_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/day_fruit71850_1837818708112150995_2024-09-22 11-38_2.webp,day_fruit71850,活動,20240921_LingOrm1stMeetMacau,202409.0,lingorm
Koiiz9_1791348381488689532_2024-05-17 06-01_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/Koiiz9_1791348381488689532_2024-05-17 06-01_2.webp,Koiiz9,活動,20240516_KissedByTheRain,202405.0,ling
teddybear_t9_1787299845679816967_2024-05-06 01-54_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/teddybear_t9_1787299845679816967_2024-05-06 01-54_2.webp,teddybear_t9,活動,20240225_餐車應援,202402.0,lingorm
teddybear_t9_1794414889622209001_2024-05-25 17-07_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/teddybear_t9_1794414889622209001_2024-05-25 17-07_2.webp,teddybear_t9,活動,20240525_RomandMultyxLingOrm,202405.0,lingorm
GasChill_1829470872794743149_2024-08-30 10-47_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/GasChill_1829470872794743149_2024-08-30 10-47_1.webp,GasChill,活動,20240830_三台上下班,202408.0,ling
Koiiz9_1822255720269496344_2024-08-10 12-56_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/Koiiz9_1822255720269496344_2024-08-10 12-56_1.webp,Koiiz9,活動,20240810_DestinyClinicxLingOrm,202408.0,lingorm
SOU_Ch3Official_1832382404205711460_2024-09-07 11-36_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/SOU_Ch3Official_1832382404205711460_2024-09-07 11-36_2.webp,SOU_Ch3Official,活動,20240907_彩排,202409.0,orm
teddybear_t9_1828018495524888872_2024-08-26 10-35_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/teddybear_t9_1828018495524888872_2024-08-26 10-35_1.webp,teddybear_t9,活動,20240826_ChairstosharexLingOrm,202408.0,lingorm
day_fruit71850_1822895370101531018_2024-08-12 07-18_3.webp,/Users/linnianyi/Desktop/Code/backend/static/images/day_fruit71850_1822895370101531018_2024-08-12 07-18_3.webp,day_fruit71850,活動,20240812_三台大樓宣傳,202408.0,orm
JungsJinns_1814862821777416312_2024-07-21 03-19_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/JungsJinns_1814862821777416312_2024-07-21 03-19_1.webp,JungsJinns,活動,20240720_LancomexLingOrm,202407.0,ling
我也不知道那是个什么鬼名字啊_5081579376608465_2024-09-22 17-33_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/我也不知道那是个什么鬼名字啊_5081579376608465_2024-09-22 17-33_2.webp,我也不知道那是个什么鬼名字啊,活動,20240922_LingOrm1stMeetMacau送機,202409.0,orm
TTaeny09_1798565749608632759_2024-06-06 04-01_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/TTaeny09_1798565749608632759_2024-06-06 04-01_2.webp,TTaeny09,活動,20240605_TikTokRunwayxOrmkornnaphat,202406.0,orm
TaeChronic_1833059838512799763_2024-09-09 08-28_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/TaeChronic_1833059838512799763_2024-09-09 08-28_1.webp,TaeChronic,活動,20240908_LingOrmFanMeet2geTHer_飯拍,202409.0,orm
butterflyverse__1792594007299600412_2024-05-20 16-31_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/butterflyverse__1792594007299600412_2024-05-20 16-31_1.webp,butterflyverse_,活動,20240519_LingOrmCharityBirthday,202405.0,ling
SpeedHan_1833493284049850652_2024-09-10 13-10_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/SpeedHan_1833493284049850652_2024-09-10 13-10_1.webp,SpeedHan,活動,20240910_ThetouchbkkxOrmkornnaphat,202409.0,orm
SS_Lingling_1827706110695862701_2024-08-25 13-54_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/SS_Lingling_1827706110695862701_2024-08-25 13-54_1.webp,SS_Lingling,活動,20240825_YoungOTOPxOrm,202408.0,orm
JungsJinns_1823733927049355548_2024-08-14 14-50_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/JungsJinns_1823733927049355548_2024-08-14 14-50_2.webp,JungsJinns,活動,20240814_OrmMajorFandom,202408.0,orm
N_0_3_01_1788611129222234228_2024-05-09 16-44_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/N_0_3_01_1788611129222234228_2024-05-09 16-44_2.webp,N_0_3_01,活動,20240509_LingOrmCh3FanGreet,202405.0,ling
_K_w_a_n__1822949964634530063_2024-08-12 10-55_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/_K_w_a_n__1822949964634530063_2024-08-12 10-55_2.webp,_K_w_a_n_,活動,20240812_三台大樓宣傳,202408.0,lingorm
S9Tofficial_1824482729393787049_2024-08-16 16-25_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/S9Tofficial_1824482729393787049_2024-08-16 16-25_2.webp,S9Tofficial,活動,20240816_LingOrm1stFMinHK接機,202408.0,lingorm
orm.kornnaphat_3447105999466233263_2024-08-31 23-31_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/orm.kornnaphat_3447105999466233263_2024-08-31 23-31_1.webp,orm.kornnaphat,拍攝,FabriqueCo拍攝,,orm
SOU_Ch3Official_1783769573201998173_2024-04-26 08-06_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/SOU_Ch3Official_1783769573201998173_2024-04-26 08-06_1.webp,SOU_Ch3Official,活動,20240426_OrmSWUAwards,202404.0,orm
PP_0566_1811028991178068315_2024-07-10 13-25_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/PP_0566_1811028991178068315_2024-07-10 13-25_1.webp,PP_0566,活動,20240323_三台54週年慶,202403.0,orm
RoyalHaven1127_1837030081807667600_2024-09-20 07-24_1.webp,/Users/linnianyi/Desktop/Code/backend/static/images/RoyalHaven1127_1837030081807667600_2024-09-20 07-24_1.webp,RoyalHaven1127,活動,20240920_LingOrm1stMeetMacau接機,202409.0,ling
IM_Trend_5081818002884840_2024-09-23 09-21_3.webp,/Users/linnianyi/Desktop/Code/backend/static/images/IM_Trend_5081818002884840_2024-09-23 09-21_3.webp,IM_Trend,拍攝,IM雜誌,,lingorm
iammerkin_1823927789046915326_2024-08-15 03-40_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/iammerkin_1823927789046915326_2024-08-15 03-40_2.webp,iammerkin,活動,20240810_DestinyClinicxLingOrm,202408.0,lingorm
SpeedHan_1788520791820402815_2024-05-09 10-46_2.webp,/Users/linnianyi/Desktop/Code/backend/static/images/SpeedHan_1788520791820402815_2024-05-09 10-46_2.webp,SpeedHan,活動,20240509_LingOrmCh3FanGreet,202405.0,ling
